2026-03-13 23:38:14.720 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4117s
2026-03-13 23:38:14.725 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 400 | 0.0021s
2026-03-13 23:38:14.729 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 400 | 0.0022s
2026-03-13 23:38:15.534 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.399s
2026-03-13 23:38:15.934 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3981s
2026-03-13 23:38:15.939 | INFO     | app.middleware.logging:logging_middleware:12 - GET /orders/track/1 | 200 | 0.0026s
2026-03-13 23:38:17.142 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.399s
2026-03-13 23:38:17.544 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3991s
2026-03-13 23:38:17.549 | INFO     | app.middleware.logging:logging_middleware:12 - GET /orders/track/1 | 404 | 0.0018s
2026-03-13 23:38:17.558 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0019s
2026-03-13 23:38:17.567 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0015s
2026-03-13 23:38:17.578 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/1 | 200 | 0.0027s
2026-03-13 23:38:17.587 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/999 | 404 | 0.0018s
2026-03-13 23:38:17.595 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0022s
2026-03-13 23:38:17.607 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0024s
2026-03-13 23:38:17.610 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0019s
2026-03-13 23:39:06.309 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4526s
2026-03-13 23:39:06.715 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.399s
2026-03-13 23:39:07.116 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.3981s
2026-03-13 23:39:07.520 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3986s
2026-03-13 23:39:07.930 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4077s
